2012-12-27 15:35:17.023  INFO XcsXoaRegistry:40 - XcsXoaRegistry initialized.
2012-12-27 16:43:24.402  INFO XcsXoaRegistry:40 - XcsXoaRegistry initialized.
2012-12-27 16:46:32.577  INFO XcsXoaRegistry:40 - XcsXoaRegistry initialized.
2012-12-27 18:24:45.681  INFO XcsXoaRegistry:40 - XcsXoaRegistry initialized.
2012-12-27 19:14:18.740  INFO XcsXoaRegistry:40 - XcsXoaRegistry initialized.
2012-12-27 19:24:31.459  INFO XcsXoaRegistry:40 - XcsXoaRegistry initialized.
2012-12-27 19:31:19.863  INFO XcsXoaRegistry:40 - XcsXoaRegistry initialized.
2012-12-27 21:34:19.756  INFO HelloWorldImpl:257 -  第 70 次执行 
2012-12-27 21:34:29.756  INFO HelloWorldImpl:257 -  第 71 次执行 
2012-12-27 21:34:39.756  INFO HelloWorldImpl:257 -  第 72 次执行 
2012-12-27 21:34:49.756  INFO HelloWorldImpl:257 -  第 73 次执行 
2012-12-27 21:34:49.842  INFO HelloWorldImpl:125 - create index :field:id  value:510
2012-12-27 21:34:49.843  INFO HelloWorldImpl:125 - create index :field:collegeId  value:12
2012-12-27 21:34:49.843  INFO HelloWorldImpl:125 - create index :field:sex  value:0
2012-12-27 21:34:49.843  INFO HelloWorldImpl:125 - create index :field:name  value:屠洪纲
2012-12-27 21:34:49.843  INFO HelloWorldImpl:125 - create index :field:year  value:2012
2012-12-27 21:34:49.845  INFO HelloWorldImpl:135 - 内存文档数1
2012-12-27 21:34:49.870  INFO HelloWorldImpl:154 - queryString:屠
2012-12-27 21:34:59.766  INFO HelloWorldImpl:257 -  第 74 次执行 
2012-12-27 21:35:09.756  INFO HelloWorldImpl:257 -  第 75 次执行 
2012-12-27 21:35:19.757  INFO HelloWorldImpl:257 -  第 76 次执行 
2012-12-27 21:35:29.757  INFO HelloWorldImpl:257 -  第 77 次执行 
2012-12-27 21:35:39.758  INFO HelloWorldImpl:257 -  第 78 次执行 
2012-12-27 21:35:44.368  INFO HelloWorldImpl:125 - create index :field:id  value:510
2012-12-27 21:35:44.368  INFO HelloWorldImpl:125 - create index :field:collegeId  value:12
2012-12-27 21:35:44.369  INFO HelloWorldImpl:125 - create index :field:sex  value:0
2012-12-27 21:35:44.369  INFO HelloWorldImpl:125 - create index :field:name  value:屠洪纲
2012-12-27 21:35:44.369  INFO HelloWorldImpl:125 - create index :field:year  value:2012
2012-12-27 21:35:44.371  INFO HelloWorldImpl:135 - 内存文档数1
2012-12-27 21:35:44.406  INFO HelloWorldImpl:257 -  第 79 次执行 
2012-12-27 21:35:49.758  INFO HelloWorldImpl:257 -  第 80 次执行 
2012-12-27 21:35:54.395  INFO HelloWorldImpl:257 -  第 81 次执行 
2012-12-27 21:35:59.758  INFO HelloWorldImpl:257 -  第 82 次执行 
2012-12-27 21:36:04.395  INFO HelloWorldImpl:257 -  第 83 次执行 
2012-12-27 21:36:09.758  INFO HelloWorldImpl:257 -  第 84 次执行 
2012-12-27 21:36:14.395  INFO HelloWorldImpl:257 -  第 85 次执行 
2012-12-27 21:36:19.759  INFO HelloWorldImpl:257 -  第 86 次执行 
2012-12-27 21:36:24.396  INFO HelloWorldImpl:257 -  第 87 次执行 
2012-12-27 21:36:29.759  INFO HelloWorldImpl:257 -  第 88 次执行 
2012-12-27 21:36:34.395  INFO HelloWorldImpl:257 -  第 89 次执行 
2012-12-27 21:36:39.760  INFO HelloWorldImpl:257 -  第 90 次执行 
2012-12-27 21:36:44.395  INFO HelloWorldImpl:257 -  第 91 次执行 
2012-12-27 21:36:48.502  INFO HelloWorldImpl:125 - create index :field:id  value:510
2012-12-27 21:36:48.502  INFO HelloWorldImpl:125 - create index :field:collegeId  value:12
2012-12-27 21:36:48.502  INFO HelloWorldImpl:125 - create index :field:sex  value:0
2012-12-27 21:36:48.503  INFO HelloWorldImpl:125 - create index :field:name  value:屠洪纲
2012-12-27 21:36:48.503  INFO HelloWorldImpl:125 - create index :field:year  value:2012
2012-12-27 21:36:48.504  INFO HelloWorldImpl:135 - 内存文档数1
2012-12-27 21:38:16.359  INFO HelloWorldImpl:125 - create index :field:id  value:510
2012-12-27 21:38:16.359  INFO HelloWorldImpl:125 - create index :field:collegeId  value:12
2012-12-27 21:38:16.359  INFO HelloWorldImpl:125 - create index :field:sex  value:0
2012-12-27 21:38:16.359  INFO HelloWorldImpl:125 - create index :field:name  value:屠洪纲
2012-12-27 21:38:16.359  INFO HelloWorldImpl:125 - create index :field:year  value:2012
2012-12-27 21:38:39.940  INFO HelloWorldImpl:125 - create index :field:id  value:510
2012-12-27 21:38:39.940  INFO HelloWorldImpl:125 - create index :field:collegeId  value:12
2012-12-27 21:38:39.940  INFO HelloWorldImpl:125 - create index :field:sex  value:0
